item_id,category,primary_material,material_cost,labor_hours,craft_tier,fair_price_inr
ART-1000,Dhokra Metal Craft,Recycled Brass,1374,46,2,8290.0
ART-1001,Channapatna Toys,Wrightia Tinctoria (Ivory Wood),1318,14,1,3190.0
ART-1002,Madhubani Painting,Natural Plant Pigments,1412,5,2,2670.0
ART-1003,Channapatna Toys,Vegetable Dyes,1035,24,2,4750.0
ART-1004,Pashmina Shawls,Natural Indigo,936,30,2,5100.0
ART-1005,Dhokra Metal Craft,Beeswax Mold,1055,18,1,3530.0
ART-1006,Madhubani Painting,Natural Plant Pigments,1347,6,3,2790.0
ART-1007,Terracotta Pottery,Riverbed Clay,1377,7,3,2950.0
ART-1008,Channapatna Toys,Wrightia Tinctoria (Ivory Wood),1449,5,2,2530.0
ART-1009,Dhokra Metal Craft,Recycled Brass,855,38,3,7130.0
ART-1010,Dhokra Metal Craft,Beeswax Mold,1101,9,1,2450.0
ART-1011,Pashmina Shawls,Ladakhi Cashmere,481,29,1,3840.0
ART-1012,Dhokra Metal Craft,Beeswax Mold,895,18,1,3040.0
ART-1013,Terracotta Pottery,Natural Oxide Wash,375,24,1,3090.0
ART-1014,Pashmina Shawls,Natural Indigo,296,44,1,5100.0
ART-1015,Terracotta Pottery,Riverbed Clay,600,27,1,3710.0
ART-1016,Madhubani Painting,Handmade Paper,672,11,2,2490.0
ART-1017,Pashmina Shawls,Natural Indigo,310,44,3,8070.0
ART-1018,Dhokra Metal Craft,Beeswax Mold,1136,26,2,5200.0
ART-1019,Dhokra Metal Craft,Beeswax Mold,805,30,2,5120.0
ART-1020,Madhubani Painting,Handmade Paper,1108,29,1,4540.0
ART-1021,Madhubani Painting,Handmade Paper,286,18,1,2380.0
ART-1022,Madhubani Painting,Handmade Paper,943,42,1,6020.0
ART-1023,Dhokra Metal Craft,Beeswax Mold,564,26,2,4370.0
ART-1024,Pashmina Shawls,Natural Indigo,604,35,2,5810.0
ART-1025,Dhokra Metal Craft,Beeswax Mold,761,9,1,1910.0
ART-1026,Dhokra Metal Craft,Beeswax Mold,1434,31,1,5670.0
ART-1027,Terracotta Pottery,Riverbed Clay,1386,16,3,4110.0
ART-1028,Madhubani Painting,Handmade Paper,397,40,2,5880.0
ART-1029,Madhubani Painting,Natural Plant Pigments,1336,15,1,3410.0
ART-1030,Terracotta Pottery,Riverbed Clay,1031,20,1,3840.0
ART-1031,Dhokra Metal Craft,Beeswax Mold,934,40,1,5840.0
ART-1032,Channapatna Toys,Wrightia Tinctoria (Ivory Wood),809,35,2,6000.0
ART-1033,Madhubani Painting,Natural Plant Pigments,202,20,2,2990.0
ART-1034,Dhokra Metal Craft,Beeswax Mold,277,25,2,3610.0
ART-1035,Terracotta Pottery,Riverbed Clay,1227,9,2,2970.0
ART-1036,Dhokra Metal Craft,Recycled Brass,482,29,2,4470.0
ART-1037,Dhokra Metal Craft,Recycled Brass,1008,43,1,6560.0
ART-1038,Terracotta Pottery,Riverbed Clay,552,26,2,4460.0
ART-1039,Dhokra Metal Craft,Beeswax Mold,425,5,3,1470.0
ART-1040,Pashmina Shawls,Ladakhi Cashmere,1263,12,1,3060.0
ART-1041,Madhubani Painting,Natural Plant Pigments,231,36,2,4990.0
ART-1042,Dhokra Metal Craft,Beeswax Mold,183,23,2,3380.0
ART-1043,Terracotta Pottery,Riverbed Clay,232,32,1,3810.0
ART-1044,Channapatna Toys,Vegetable Dyes,1266,19,3,4540.0
ART-1045,Dhokra Metal Craft,Recycled Brass,477,24,1,3260.0
ART-1046,Madhubani Painting,Handmade Paper,719,36,2,5950.0
ART-1047,Pashmina Shawls,Ladakhi Cashmere,517,11,2,2290.0
ART-1048,Terracotta Pottery,Natural Oxide Wash,958,36,1,5480.0
ART-1049,Madhubani Painting,Natural Plant Pigments,626,20,3,4090.0
ART-1050,Pashmina Shawls,Natural Indigo,178,44,3,7330.0
ART-1051,Pashmina Shawls,Ladakhi Cashmere,1202,36,1,5460.0
ART-1052,Terracotta Pottery,Natural Oxide Wash,1426,21,2,5060.0
ART-1053,Channapatna Toys,Wrightia Tinctoria (Ivory Wood),765,27,1,4140.0
ART-1054,Channapatna Toys,Wrightia Tinctoria (Ivory Wood),234,45,3,8020.0
ART-1055,Terracotta Pottery,Riverbed Clay,325,42,1,5410.0
ART-1056,Madhubani Painting,Natural Plant Pigments,1000,27,3,5760.0
ART-1057,Terracotta Pottery,Natural Oxide Wash,764,23,2,4310.0
ART-1058,Dhokra Metal Craft,Recycled Brass,550,18,1,2580.0
ART-1059,Madhubani Painting,Handmade Paper,654,25,2,4030.0
